"dad_job","decision_mode","impairment","mom_job","years_in_uk","start_date","end_date","progress","duration_in_seconds","finished","recorded_date","response_id","attributes_1","attributes_2","attributes_3","attributes_4","attributes_5","attributes_6","attributes_7","attributes_8","attributes_9","attributes_10","schwartz_s_1_1","schwartz_s_1_2","schwartz_s_1_3","schwartz_s_1_4","schwartz_s_1_5","schwartz_s_2_1","schwartz_s_2_2","schwartz_s_2_3","schwartz_s_2_4","schwartz_s_2_5","auth_s_1","auth_s_2","auth_s_3","auth_s_4","topics_s_1_1","topics_s_1_2","topics_s_1_3","topics_s_1_4","topics_s_1_5","topics_s_1_6","topics_s_2_1","topics_s_2_2","topics_s_2_3","topics_s_2_4","topics_s_2_5","topics_s_2_6","worth","good_qualties","failure","comparison","proud","positive_attitude","satisfaction","respect","useless","no_good","risk","trust","decision_mode_follow","likert_time_recip_1","likert_time_recip_2","likert_time_recip_3","pol_interest","political","social_ideo_1","social_ideo_2","social_ideo_3","social_ideo_4","social_ideo_5","ineq","redist","standard_live","private_redist","tax_share","uk_aid_spend","uk_immig_lvl","uk_poverty_aid","uk_problems","uk_similar","get_ahead_uk_1","get_ahead_uk_2","get_ahead_uk_3","get_ahead_uk_4","get_ahead_uk_5","get_ahead_uk_6","get_ahead_uk_7","get_ahead_uk_8","get_ahead_uk_9","get_ahead_uk_10","sex","birth","race","religion","single","uni_student","studies","prev_part","exp_part","impaired","mom_education","dad_education","siblings","siblings_order","children","number_children","birth_nation","abroad","nation","first_language","home_language","languages","other_country_s_1_1","other_country_s_1_2","other_country_s_1_3","other_country_s_2_1","other_country_s_2_2","other_country_s_2_3","dev_poverty_aid","dev_problems","dev_similar","get_ahead_dev_1","get_ahead_dev_2","get_ahead_dev_3","get_ahead_dev_4","get_ahead_dev_5","get_ahead_dev_6","get_ahead_dev_7","get_ahead_dev_8","get_ahead_dev_9","get_ahead_dev_10","charchc_noeff_6","charchc_noeff_7","charch_noef_rev_7","charch_noef_rev_12","char_choice_efftreat_6","char_choice_efftreat_7","choice_eff_reverse_6","choice_eff_reverse_12","donation","attn_geog_qn","reaction_qn","happiness","aid_treat","treat_image","treat_eff_info","d_river_1_st","time_desc_chars","time_charch","time_intro_prize","raw_treat_eff_info","raw_treat_image","treatment","char_choice","d_donation","d_donated_all","d_donated_mid","endow","av_don","don_guide_dogs","d_don_guide_dogs","don_river","d_don_river","date_sent","dur_survey","delay_response","eyes_correct_pct","d_decis_intu","d_decis_intu_m","givendate","age","d_mature","age_sq","dow","study"
"Other","I partly ponder and partly rely on intuition",NA,"Government",3,"2019/06/01 07:55:38","2019/06/01 08:42:02",100,2784,TRUE,"2019/06/01 08:42:03","R_1rH28T3LhSJpRm7","Neither agree nor disagree","Agree a little","Agree Moderately","Agree Moderately","Agree Moderately","Agree Moderately","Agree Moderately","Disagree a little","Agree a little","Disagree a little","Very much like me","Very much like me","Like me","Like me","Somewhat like me","Like me","Not like me","Like me","A little like me","Not like me","Independence","Curiosity","Self-reliance","Being considerate","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Disagree","Disagree","Strongly Agree","Strongly Agree","Agree","7","Depends","I more frequently rely on intuition","7","3","3","Not at all interested","5","Never justifiable","Never justifiable","Never justifiable","5","2",NA,NA,NA,NA,"Larger","Spend more","Increasing immigration levels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","18/05/1991","Arab","Muslim","Married","Yes","computer science","No","Online Only","No","Undergraduate Degree (BA, BSc etc.)","Post-graduate Degree (MA, MSc etc.)",5,0,"Yes",1,"No","Yes","Jordan","No","1","arabic","palestine","uk","null","25","3","null","Extremely supportive","A lot","Moderately similar","Moderately important","Very important","Very important","Very important","Very important","Very important","Very important","Slightly important","Not at all important","Not at all important",NA,NA,NA,NA,NA,NA,NA,NA,0,"Europe","like I just wanted to help in some way.","Neither happy nor unhappy","int","No image","Info","FALSE",17.978,17.978,72.49,1,0,"Info only","No donation","1","0","0",50,0,0,"0",0,"0","2019/05/31 20:02:00",46.4,0.4955787037037037,0.7222222222222222,"1","1","2019-05-31",28.035592060232716,"TRUE",785.9944221677837,"7","Comput"
"Other","I ponder accurately, reasoning carefully about my choice",NA,"Management, Professional, and related",NA,"2019/06/01 08:21:43","2019/06/01 08:54:01",100,1938,TRUE,"2019/06/01 08:54:02","R_2e9KAwxVJpLncCs","Neither agree nor disagree","Disagree a little","Agree Moderately","Disagree Moderately","Agree a little","Agree a little","Agree a little","Disagree a little","Agree Moderately","Agree a little","Like me","A little like me","Like me","Like me","Somewhat like me","A little like me","Somewhat like me","Not like me","Not like me","A little like me","Respect for their elders","Good manners","Self-reliance","Being considerate","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","4","Can't be too careful",NA,"5","2","5","Not very interested","5","Always Justifiable","5","Always Justifiable","Always Justifiable","Always Justifiable",NA,NA,NA,NA,"Larger","Spend less","Keeping immigration levels the same",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","13/11/1984","White","Christian","Married","No",NA,"Yes","I'm open to both Online and In-Lab Experiments","No","Undergraduate Degree (BA, BSc etc.)","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",1,1,"Yes",2,"Yes","No",NA,"Yes",NA,"No",NA,NA,NA,NA,NA,NA,"Moderately supportive","A moderate amount","Very Dissimilar","Slightly important","Slightly important","Very important","Very important","Very important","Moderately important","Very important","Moderately important","Not at all important","Not at all important",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Slightly happy","int","Image","Info","TRUE",6.985,6.985,20.694000000000003,1,1,"Image-Info","No donation","1","0","0",50,0,0,"0",0,"0","2019/05/31 20:02:00",32.3,0.5136921296296296,0.7777777777777778,"0","0","2019-05-31",34.54346338124572,"TRUE",1193.250862371464,"7",NA
"Management, Professional, and related","I ponder accurately, reasoning carefully about my choice",NA,"Service",5,"2019/05/31 21:21:56","2019/06/01 08:57:08",100,41712,TRUE,"2019/06/01 08:57:09","R_0e4XLCST6hskSTT","Agree Moderately","Agree a little","Agree Moderately","Agree a little","Agree Strongly","Disagree Moderately","Agree Strongly","Disagree Strongly","Disagree a little","Disagree a little","Somewhat like me","Not like me at all","Like me","Like me","Very much like me","Very much like me","Very much like me","Very much like me","Somewhat like me","Very much like me","Independence","Curiosity","Self-reliance","Being considerate","Agree","Agree","Strongly agree","Disagree","Agree","Strongly agree","Disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","9","Depends",NA,"very willing to do so","7","6","Not very interested","2","Always Justifiable","3","Always Justifiable","Always Justifiable","Always Justifiable",NA,NA,NA,NA,"The same share","Spend more","Keeping immigration levels the same",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","14/07/1997","White","Atheist","Single","Yes","Genetics with placement year","Yes","I'm open to both Online and In-Lab Experiments","No","Undergraduate Degree (BA, BSc etc.)","Undergraduate Degree (BA, BSc etc.)",1,1,"No",NA,"No","Yes","Italy","No","Italian","English, Spanish","Italy","England",NA,"17","5",NA,"Extremely supportive","A great deal","Very similar","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Moderately important","Very important","Extremely important","Slightly important","Moderately important",NA,"River blindnessDonation goes to the charity the Carter Center, for their River Blindness Program",NA,NA,NA,NA,NA,NA,5,"Latin America and Africa","like I just wanted to help in some way.","Extremely happy","int","No image","No info","FALSE",NA,17.975,17.621,0,0,"Control","River blindness","2","0","1",50,0.1,0,"0",5,"1","2019/05/31 20:02:00",695.2,0.05550925925925926,0.7222222222222222,"0","0","2019-05-31",21.87816563997262,"FALSE",478.6541317700786,"6","Biological"
"Management, Professional, and related","I partly ponder and partly rely on intuition",NA,"Government",8,"2019/06/01 09:21:16","2019/06/01 09:37:07",100,950,TRUE,"2019/06/01 09:37:07","R_4GT170JjbcTS5MJ","Agree a little","Disagree a little","Agree Moderately","Agree a little","Agree a little","Agree a little","Agree Moderately","Disagree Moderately","Agree a little","Agree a little","Not like me","Not like me at all","Somewhat like me","Very much like me","Somewhat like me","A little like me","Somewhat like me","Not like me","Not like me","A little like me","Independence","Curiosity","Self-reliance","Being considerate","Agree","Disagree","Agree","Disagree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","6","Depends","I more frequently rely on intuition","5","1","1","Somewhat interested","3","Always Justifiable","4","Always Justifiable","Always Justifiable","Always Justifiable",NA,NA,NA,NA,"Much larger share","Spend the same amount","Increasing immigration levels","Extremely supportive","A moderate amount","Somewhat dissimilar","Very important","Moderately important","Moderately important","Slightly important","Moderately important","Very important","Moderately important","Very important","Slightly important","Moderately important","Female","19/11/1986","White","Christian","Single","No",NA,"Yes","I'm open to both Online and In-Lab Experiments","No","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",1,0,"No",NA,"No","Yes","Spain","No","Spanish","Spanish","Spain","USA",NA,"22","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Latin America and Africa","like I just wanted to help in some way.","Neither happy nor unhappy","uk","No image","No info","TRUE",NA,16.608,18.701,0,0,"Control","No donation","1","0","0",50,0,0,"0",0,"0","2019/05/31 20:02:00",15.85,0.5550462962962963,0.8333333333333334,"1","1","2019-05-31",32.5284052019165,"TRUE",1058.0971449800684,"7",NA
"Construction, Extraction, and maintenance","I partly ponder and partly rely on intuition",NA,"Homemaker",NA,"2019/06/01 09:18:14","2019/06/01 09:41:29",100,1395,TRUE,"2019/06/01 09:41:31","R_3nSlGxEsLYgxiMn","Disagree a little","Agree a little","Agree Moderately","Disagree a little","Agree a little","Disagree a little","Agree a little","Disagree Strongly","Agree Moderately","Disagree Moderately","Somewhat like me","Not like me at all","Like me","Very much like me","Very much like me","Somewhat like me","Somewhat like me","Not like me at all","Somewhat like me","Very much like me","Respect for their elders","Good manners","Self-reliance","Being well-behaved","Agree","Strongly disagree","Neither agree nor disagree","Disagree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Disagree","Agree","Agree","Strongly Disagree","Disagree","Strongly Disagree","6","Depends","I more frequently rely on intuition","7","7","5","Not very interested","5","Always Justifiable","Never justifiable","Always Justifiable","Always Justifiable","Always Justifiable",NA,NA,NA,NA,"Larger","Spend the same amount","Decreasing immigration levels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","13/06/1972","White","Agnostic","Divorced/Separated","No",NA,"No","Online Only","No","Secondary Education (GCSE/O-Levels) or below","Secondary Education (GCSE/O-Levels) or below",2,2,"No",NA,"Yes","No",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Moderately supportive","A moderate amount","Moderately dissimilar","Moderately important","Slightly important","Very important","Extremely important","Extremely important","Moderately important","Moderately important","Moderately important","Very important","Very important",NA,"River blindnessDonation goes to the charity the Carter Center, for their River Blindness Program",NA,NA,NA,NA,NA,NA,10,"Latin America and Africa","like I just wanted to help in some way.","Slightly happy","int","No image","No info","FALSE",NA,19.693,29.276,0,0,"Control","River blindness","2","0","1",50,0.2,0,"0",10,"1","2019/05/31 20:02:00",23.25,0.5529398148148148,0.8333333333333334,"1","1","2019-05-31",46.96235455167693,"TRUE",2205.462745037411,"7",NA
"Construction, Extraction, and maintenance","I partly ponder and partly rely on intuition",NA,"Sales and Office",4,"2019/06/01 09:09:06","2019/06/01 09:43:07",100,2041,TRUE,"2019/06/01 09:43:08","R_4MdURLLa3MgQ8Sd","Agree Moderately","Agree a little","Neither agree nor disagree","Agree a little","Agree Moderately","Disagree Moderately","Agree Moderately","Agree a little","Disagree a little","Disagree a little","Like me","Not like me at all","Somewhat like me","Very much like me","Like me","Somewhat like me","Somewhat like me","Not like me","Not like me","Not like me","Independence","Curiosity","Self-reliance","Being considerate","Agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","7","Depends","I more frequently rely on intuition","3","1","4","Very interested","3","Always Justifiable","4","Always Justifiable","Always Justifiable","Always Justifiable",NA,NA,NA,NA,"Larger","Spend more","Increasing immigration levels","Moderately supportive","A moderate amount","Moderately similar","Extremely important","Very important","Moderately important","Slightly important","Moderately important","Very important","Slightly important","Moderately important","Very important","Very important","Male","28/03/1970","Other","Agnostic","Divorced/Separated","No",NA,"Yes","Online Only","No","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","Secondary Education (GCSE/O-Levels) or below",2,0,"No",NA,"No","Yes","Colombia","No","Spanish","Português","Australia","España","Vietnam","1","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Neither happy nor unhappy","uk","Image","Info","FALSE",16.832,16.83,80.419,1,1,"Image-Info","No donation","1","0","0",50,0,0,"0",0,"0","2019/05/31 20:02:00",34.016666666666666,0.5465972222222222,0.4444444444444444,"1","1","2019-05-31",49.17453798767967,"TRUE",2418.1351863017508,"7",NA
"Other","I ponder accurately, reasoning carefully about my choice",NA,"Other",8,"2019/06/01 09:33:24","2019/06/01 09:48:19",100,894,TRUE,"2019/06/01 09:48:20","R_1Gv2ptXWk8BU05m","Agree a little","Disagree a little","Agree Strongly","Agree a little","Agree Strongly","Agree Strongly","Agree Moderately","Disagree Moderately","Agree Moderately","Disagree Strongly","Like me","Like me","Like me","Very much like me","Like me","Very much like me","Like me","Very much like me","Like me","Like me","Independence","Good manners","Obedience","Being well-behaved","Agree","Agree","Neither agree nor disagree","Disagree","Disagree","Neither agree nor disagree","Disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Strongly agree","Agree","Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Agree","Disagree","Disagree","Disagree","8","Depends",NA,"4","5","4","Very interested","4","6","2","3","8","8",NA,NA,NA,NA,"Larger","Spend less","Keeping immigration levels the same",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","28/04/2001","Mixed","Christian","Single","No",NA,"No","I'm open to both Online and In-Lab Experiments","No","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","Post-graduate Degree (MA, MSc etc.)",2,0,"No",NA,"No","Yes","Belgium","No","Dutch (Flemish)","Dutch, French and English","United Kingdom",NA,NA,NA,NA,NA,"Very supportive","A moderate amount","Somewhat similar","Slightly important","Moderately important","Extremely important","Extremely important","Extremely important","Very important","Moderately important","Moderately important","Moderately important","Moderately important",NA,NA,NA,NA,NA,NA,NA,"Guide dogs Donation goes to the charity Guide Dogs (UK)  to support working guide dog partnerships",7,"Latin America and Africa","like I just wanted to help in some way.","Moderately happy","int","No image","Info","TRUE",17.976,17.976,24.727,1,0,"Info only","Guide dogs","2","0","1",50,0.14,7,"1",0,"0","2019/05/31 20:02:00",14.916666666666666,0.5634722222222223,0.6111111111111112,"0","0","2019-05-31",18.088980150581794,"FALSE",327.2112028881421,"7",NA
"Service","I ponder accurately, reasoning carefully about my choice",NA,"Management, Professional, and related",1,"2019/06/01 10:09:15","2019/06/01 10:28:24",100,1148,TRUE,"2019/06/01 10:28:24","R_RsfZEHX8mL2ZlpD","Disagree a little","Agree Moderately","Agree Strongly","Disagree Strongly","Agree a little","Agree a little","Agree Moderately","Agree a little","Agree Moderately","Disagree Moderately","Somewhat like me","Not like me","Somewhat like me","Somewhat like me","Like me","Somewhat like me","A little like me","Somewhat like me","Not like me","A little like me","Independence","Curiosity","Self-reliance","Being well-behaved","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","6","Depends",NA,"7","4","4","Somewhat interested","3","Always Justifiable","6","8","Always Justifiable","Always Justifiable",NA,NA,NA,NA,"Larger","Spend the same amount","Increasing immigration levels","Moderately supportive","A moderate amount","Somewhat similar","Slightly important","Slightly important","Very important","Slightly important","Moderately important","Very important","Very important","Very important","Moderately important","Moderately important","Female","16/01/1988","White","Atheist","Married","Yes",NA,"Yes","I'm open to both Online and In-Lab Experiments","No","Undergraduate Degree (BA, BSc etc.)","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",1,0,"No",NA,"No","Yes","Spain","No","Spanish","Japanese, Italian","Japan",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Latin America and Africa","like I just wanted to move on.","Neither happy nor unhappy","uk","Image","No info","FALSE",NA,28.75,41.243,0,1,"Image only","No donation","1","0","0",50,0,0,"0",0,"0","2019/05/31 20:02:00",19.15,0.5883680555555556,0.6111111111111112,"0","0","2019-05-31",31.370294318959616,"TRUE",984.09536565815,"7",NA
"Construction, Extraction, and maintenance","I partly ponder and partly rely on intuition",NA,"Government",NA,"2019/06/01 11:16:23","2019/06/01 11:34:04",100,1061,TRUE,"2019/06/01 11:34:05","R_3m8o1Qz39zg5qUN","Disagree a little","Neither agree nor disagree","Agree Moderately","Neither agree nor disagree","Agree Moderately","Neither agree nor disagree","Agree Moderately","Neither agree nor disagree","Agree Moderately","Disagree Strongly","Like me","Somewhat like me","A little like me","A little like me","Like me","Somewhat like me","A little like me","Somewhat like me","Like me","Like me","Respect for their elders","Curiosity","Obedience","Being considerate","Strongly agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","7","Depends","I more frequently ponder carefully","very willing to do so","6","9","Somewhat interested","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"The same share","Spend less","Decreasing immigration levels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","04 01 1999","Black African","Other","Single","Yes",NA,"No","Online Only","No","Undergraduate Degree (BA, BSc etc.)",NA,5,3,"No",NA,"Yes","No",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Not very supportive","A little","Very Dissimilar","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Extremely important","Moderately important","Moderately important",NA,NA,"River blindnessDonation goes to the charity  the Carter Center, for their River Blindness Program",NA,NA,NA,NA,NA,25,NA,NA,"Moderately happy","int","Image","No info","TRUE",NA,22.573,16.469,0,1,"Image only","River blindness","2","0","1",50,0.5,0,"0",25,"1","2019/05/31 20:02:00",17.683333333333334,0.634988425925926,0.3333333333333333,"0","0","2019-05-31",20.40246406570842,"FALSE",416.2605399525233,"7",NA
"Other","I ponder accurately, reasoning carefully about my choice",NA,"Other",17,"2019/06/01 10:51:17","2019/06/01 11:36:14",100,2696,TRUE,"2019/06/01 11:36:14","R_2q3iO8w6jNO7u25","Agree Strongly","Agree a little","Agree Strongly","Agree Strongly","Agree Strongly","Disagree Strongly","Agree Strongly","Disagree Strongly","Agree Strongly","Disagree Strongly","Very much like me","A little like me","Very much like me","Very much like me","Very much like me","Very much like me","Very much like me","Somewhat like me","Not like me","Very much like me","Respect for their elders","Good manners","Obedience","Being considerate","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Very willing to take risks","Can't be too careful",NA,"very willing to do so","very willing to do so","very willing to do so","Not very interested","Far Left","Always Justifiable","Always Justifiable","Always Justifiable","Never justifiable","Always Justifiable",NA,NA,NA,NA,"Much larger share","Spend the same amount","Keeping immigration levels the same","A little supportive","A moderate amount","Somewhat dissimilar","Moderately important","Moderately important","Extremely important","Extremely important","Extremely important","Moderately important","Moderately important","Extremely important","Not at all important","Not at all important","Female","18/02/1977","White","Other","Single","No",NA,"No","I'm open to both Online and In-Lab Experiments","No","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",1,1,"Yes",2,"No","Yes","Poland","No","Polish","Russian French English German","Poland",NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guide dogs Donation goes to the charity Guide Dogs (UK)  to support working guide dog partnerships",NA,NA,NA,NA,15,"Africa","like I just wanted to help in some way.","Moderately happy","uk","No image","No info","TRUE",NA,25.92,10.802,0,0,"Control","Guide dogs","2","0","1",50,0.3,15,"1",0,"0","2019/05/31 20:02:00",44.95,0.6175578703703704,0.5555555555555556,"0","0","2019-05-31",42.27789185489391,"TRUE",1787.4201396941048,"7",NA
"Production, Transportation, and Material Moving","I ponder accurately, reasoning carefully about my choice","short sighted.","Sales and Office",NA,"2019/06/01 10:32:18","2019/06/01 11:37:42",100,3923,TRUE,"2019/06/01 11:37:43","R_1jjGJPvif7mnmfw","Agree a little","Disagree Moderately","Agree Moderately","Disagree Strongly","Agree Moderately","Disagree Moderately","Agree Moderately","Disagree Moderately","Agree Moderately","Neither agree nor disagree","Like me","A little like me","Like me","Like me","Like me","A little like me","Somewhat like me","A little like me","Somewhat like me","Like me","Independence","Curiosity","Self-reliance","Being considerate","Agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Disagree","Strongly agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Strongly Agree","Disagree","Disagree","Strongly Disagree","Risk Neutral","Most people can be trusted",NA,"7","3","3","Very interested","7","Always Justifiable","5","9","9","Always Justifiable",NA,NA,NA,NA,"Larger","Spend less","Keeping immigration levels the same","Very supportive","A lot","Somewhat similar","Moderately important","Very important","Extremely important","Extremely important","Extremely important","Moderately important","Very important","Moderately important","Slightly important","Slightly important","Male","11/07/1956","White","Christian","Married","No",NA,"Yes","I'm open to both Online and In-Lab Experiments","Yes","Secondary Education (GCSE/O-Levels) or below","Secondary Education (GCSE/O-Levels) or below",3,1,"Yes",1,"Yes","Yes",NA,"Yes",NA,"no","New Zealand",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Africa and Asia","like I just wanted to help in some way.","Moderately happy","uk","Image","No info","FALSE",NA,24.124,109.275,0,1,"Image only","No donation","1","0","0",50,0,0,"0",0,"0","2019/05/31 20:02:00",65.4,0.604375,0.7777777777777778,"0","0","2019-05-31",62.88569472963724,"TRUE",3954.6106016291246,"7",NA
"Sales and Office","I partly ponder and partly rely on intuition",NA,"Homemaker",NA,"2019/06/01 09:24:19","2019/06/01 11:48:57",100,8677,TRUE,"2019/06/01 11:48:57","R_1dbt1qO7qR8HjQC","Disagree Strongly","Disagree Moderately","Neither agree nor disagree","Agree Strongly","Disagree Moderately","Agree a little","Agree Moderately","Agree a little","Disagree Moderately","Agree Moderately","Not like me","Not like me","Like me","Like me","Not like me","Not like me","Not like me","A little like me","Not like me","Not like me","Independence","Good manners","Self-reliance","Being considerate","Agree","Strongly agree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Strongly agree","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Risk Neutral","Can't be too careful","I more frequently rely on intuition","7","1","completely unwilling to do so","Not very interested","9","Always Justifiable","4","7","Always Justifiable","9",NA,NA,NA,NA,"The same share","Spend less","Decreasing immigration levels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","02/06/1979","White","Christian","Married","No",NA,"No","Online Only","No","Secondary Education (GCSE/O-Levels) or below","Secondary Education (GCSE/O-Levels) or below",2,0,"Yes",2,"Yes","No",NA,"Yes",NA,"No",NA,NA,NA,NA,NA,NA,"Not very supportive","A little","Very Dissimilar","Very important","Very important","Extremely important","Extremely important","Extremely important","Very important","Moderately important","Moderately important","Not at all important","Not at all important",NA,NA,NA,"Guide dogs Donation goes to the charity Guide Dogs (UK)  to support working guide dog partnerships",NA,NA,NA,NA,7,"Africa and Europe","like I just wanted to move on.","Moderately happy","int","Image","No info","TRUE",NA,5.798,10.219000000000001,0,1,"Image only","Guide dogs","2","0","1",50,0.14,7,"1",0,"0","2019/05/31 20:02:00",144.63333333333333,0.5571643518518519,0.7222222222222222,"1","1","2019-05-31",39.99452429842574,"TRUE",1599.5619738573666,"7",NA
"Management, Professional, and related","I ponder accurately, reasoning carefully about my choice",NA,"Other",1,"2019/06/01 11:27:10","2019/06/01 11:50:58",100,1427,TRUE,"2019/06/01 11:50:58","R_3KvAslRbZe2LNyY","Agree Strongly","Agree Moderately","Agree Strongly","Agree Strongly","Agree Strongly","Disagree Moderately","Agree Strongly","Disagree Moderately","Agree Moderately","Disagree Strongly","Very much like me","A little like me","Very much like me","Very much like me","Very much like me","Like me","A little like me","Very much like me","A little like me","Like me","Respect for their elders","Good manners","Obedience","Being well-behaved","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","6","Depends",NA,"very willing to do so","5","8","Very interested","Far Left","Always Justifiable","8","Always Justifiable","Always Justifiable","Always Justifiable",NA,NA,NA,NA,"Larger","Spend more","Keeping immigration levels the same",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","02/10/1997","Other","Hindu","Single","Yes","Law","No","I'm open to both Online and In-Lab Experiments","No","Post-graduate Degree (MA, MSc etc.)","Post-graduate Degree (MA, MSc etc.)",2,1,"No",NA,"No","Yes","Malaysia","Yes",NA,"Bahasa Malaysia, Malayalam, Tamil","United Kingdom",NA,NA,"01",NA,NA,"Extremely supportive","A great deal","Somewhat dissimilar","Not at all important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Not at all important","Not at all important",NA,NA,NA,NA,NA,NA,NA,NA,0,"Africa","like I just wanted to help in some way.","Slightly unhappy","int","Image","No info","TRUE",NA,12.927,9.964,0,1,"Image only","No donation","1","0","0",50,0,0,"0",0,"0","2019/05/31 20:02:00",23.8,0.6424768518518519,0.7777777777777778,"0","0","2019-05-31",21.659137577002053,"FALSE",469.11824057950236,"7","Law/Legal"
